[21094, 'chrM', '0', '620', 'Pol2_peaks.bed']
[6753, 'chr15', '36871491', '36872065', 'Pol2_peaks.bed']
[5645, 'chr13', '36871865', '36872220', 'Pol2_peaks.bed']
[13278, 'chr5', '36873600', '36879999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4763, 'chr17', '36874200', '36877399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16092, 'chr5', '36876631', '36876885', 'Pol2_peaks.bed']
[9808, 'chr22', '36876800', '36878599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13627, 'chr22', '36877427', '36877713', 'Pol2_peaks.bed']
[13628, 'chr22', '36877953', '36878154', 'Pol2_peaks.bed']
[4764, 'chr17', '36885400', '36888599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10361, 'chr20', '36887800', '36889599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16381, 'chr2', '36891000', '36891399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4765, 'chr17', '36901800', '36911399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9809, 'chr22', '36902000', '36903799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8529, 'chr19', '36908200', '36910399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8675, 'chr17', '36908638', '36908757', 'Pol2_peaks.bed']
[10427, 'chr19', '36909378', '36909549', 'Pol2_peaks.bed']
[10428, 'chr19', '36909620', '36909724', 'Pol2_peaks.bed']
[8530, 'chr19', '36911600', '36913399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[18190, 'chr1', '36915400', '36916999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[584, 'chr1', '36916164', '36916448', 'Pol2_peaks.bed']
[898, 'chr13', '36917800', '36921199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5646, 'chr13', '36919662', '36920208', 'Pol2_peaks.bed']
[9810, 'chr22', '36923000', '36926999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20473, 'chr9', '36925047', '36925348', 'Pol2_peaks.bed']
[13629, 'chr22', '36925085', '36925426', 'Pol2_peaks.bed']
[13630, 'chr22', '36925539', '36925678', 'Pol2_peaks.bed']
[18191, 'chr1', '36927600', '36930999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[585, 'chr1', '36929466', '36929674', 'Pol2_peaks.bed']
[586, 'chr1', '36929867', '36930227', 'Pol2_peaks.bed']
[12428, 'chr6', '36950600', '36955999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4766, 'chr17', '36952800', '36957199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17594, 'chr6', '36953804', '36953930', 'Pol2_peaks.bed']
[17595, 'chr6', '36954222', '36954359', 'Pol2_peaks.bed']
[8676, 'chr17', '36956090', '36956299', 'Pol2_peaks.bed']
[20809, 'chr8', '36956400', '36958599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19654, 'chr8', '36957523', '36957641', 'Pol2_peaks.bed']
[13631, 'chr22', '36966111', '36966359', 'Pol2_peaks.bed']
[21176, 'chrX', '36968560', '36968927', 'Pol2_peaks.bed']
[12949, 'chr20', '36970648', '36970795', 'Pol2_peaks.bed']
[12950, 'chr20', '36970929', '36971051', 'Pol2_peaks.bed']
[7194, 'chr14', '36973800', '36975999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[143, 'chrX', '36975200', '36976999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8531, 'chr19', '36978800', '36981399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4767, 'chr17', '36979800', '36982399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10429, 'chr19', '36980128', '36980862', 'Pol2_peaks.bed']
[10430, 'chr19', '36980920', '36981033', 'Pol2_peaks.bed']
[144, 'chrX', '36981000', '36982599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8677, 'chr17', '36981596', '36981935', 'Pol2_peaks.bed']
[7195, 'chr14', '36982000', '36984199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15232, 'chr3', '36985000', '36987199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14016, 'chr3', '36985665', '36985772', 'Pol2_peaks.bed']
[19935, 'chr9', '36985800', '36988399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7196, 'chr14', '36988400', '36990399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7197, 'chr14', '36992800', '36995199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19936, 'chr9', '37001600', '37003599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[145, 'chrX', '37003200', '37004599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[899, 'chr13', '37004200', '37007399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8678, 'chr17', '37005295', '37005404', 'Pol2_peaks.bed']
[4768, 'chr17', '37006200', '37010999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8679, 'chr17', '37009655', '37010302', 'Pol2_peaks.bed']
[8532, 'chr19', '37017600', '37020999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10431, 'chr19', '37018994', '37019770', 'Pol2_peaks.bed']
[4769, 'chr17', '37023200', '37028999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19937, 'chr9', '37025400', '37030999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11106, 'chr7', '37026200', '37026799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17596, 'chr6', '37027208', '37027598', 'Pol2_peaks.bed']
[15233, 'chr3', '37029400', '37036399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19938, 'chr9', '37033600', '37039399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14017, 'chr3', '37034370', '37034728', 'Pol2_peaks.bed']
[14018, 'chr3', '37034952', '37035084', 'Pol2_peaks.bed']
[14019, 'chr3', '37035225', '37035353', 'Pol2_peaks.bed']
[4770, 'chr17', '37035800', '37036999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17597, 'chr6', '37045837', '37045971', 'Pol2_peaks.bed']
[7198, 'chr14', '37047400', '37053599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10362, 'chr20', '37060800', '37064399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8533, 'chr19', '37062800', '37066199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12951, 'chr20', '37063809', '37064080', 'Pol2_peaks.bed']
[10432, 'chr19', '37063910', '37064255', 'Pol2_peaks.bed']
[11357, 'chr2', '37067238', '37067353', 'Pol2_peaks.bed']
[12429, 'chr6', '37069600', '37071599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17598, 'chr6', '37070305', '37070398', 'Pol2_peaks.bed']
[10363, 'chr20', '37074800', '37076999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12952, 'chr20', '37075257', '37075460', 'Pol2_peaks.bed']
[19939, 'chr9', '37078600', '37081399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20474, 'chr9', '37079892', '37080067', 'Pol2_peaks.bed']
[8680, 'chr17', '37081834', '37081927', 'Pol2_peaks.bed']
[12430, 'chr6', '37093000', '37095399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17599, 'chr6', '37093485', '37093611', 'Pol2_peaks.bed']
[17600, 'chr6', '37093676', '37093979', 'Pol2_peaks.bed']
[8534, 'chr19', '37093800', '37097199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17601, 'chr6', '37094132', '37094281', 'Pol2_peaks.bed']
[10433, 'chr19', '37096191', '37096300', 'Pol2_peaks.bed']
[9811, 'chr22', '37098400', '37100399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10364, 'chr20', '37100400', '37102799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12953, 'chr20', '37101082', '37101284', 'Pol2_peaks.bed']
[12954, 'chr20', '37101426', '37101568', 'Pol2_peaks.bed']
[12431, 'chr6', '37101600', '37110599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17602, 'chr6', '37104984', '37105164', 'Pol2_peaks.bed']
[17603, 'chr6', '37105231', '37105604', 'Pol2_peaks.bed']
[7199, 'chr14', '37115000', '37118599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19940, 'chr9', '37119400', '37123399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20475, 'chr9', '37119986', '37120143', 'Pol2_peaks.bed']
[20476, 'chr9', '37120501', '37120666', 'Pol2_peaks.bed']
[4771, 'chr17', '37123200', '37124199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8681, 'chr17', '37123566', '37123737', 'Pol2_peaks.bed']
[8682, 'chr17', '37123854', '37124027', 'Pol2_peaks.bed']
[7200, 'chr14', '37125000', '37134199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[7201, 'chr14', '37135600', '37136599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12432, 'chr6', '37136000', '37143199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17604, 'chr6', '37136851', '37137144', 'Pol2_peaks.bed']
[17605, 'chr6', '37137258', '37137525', 'Pol2_peaks.bed']
[6150, 'chr14', '37145702', '37145839', 'Pol2_peaks.bed']
[8535, 'chr19', '37156600', '37159999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10434, 'chr19', '37157557', '37157967', 'Pol2_peaks.bed']
[4772, 'chr17', '37167600', '37168999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8683, 'chr17', '37168569', '37168677', 'Pol2_peaks.bed']
[6428, 'chr15', '37169000', '37173199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9812, 'chr22', '37169800', '37173799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[6754, 'chr15', '37170097', '37170190', 'Pol2_peaks.bed']
[13632, 'chr22', '37172045', '37172176', 'Pol2_peaks.bed']
[6429, 'chr15', '37173800', '37181799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8536, 'chr19', '37176800', '37180199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9813, 'chr22', '37178000', '37178799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13633, 'chr22', '37178087', '37178222', 'Pol2_peaks.bed']
[10435, 'chr19', '37178456', '37178747', 'Pol2_peaks.bed']
[4773, 'chr17', '37183000', '37184199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12433, 'chr6', '37188800', '37191199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[6430, 'chr15', '37189600', '37191599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17606, 'chr6', '37189757', '37189981', 'Pol2_peaks.bed']
[16382, 'chr2', '37190200', '37195399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17607, 'chr6', '37190397', '37190490', 'Pol2_peaks.bed']
[11358, 'chr2', '37193311', '37193464', 'Pol2_peaks.bed']
[11359, 'chr2', '37193626', '37193743', 'Pol2_peaks.bed']
[8684, 'chr17', '37202330', '37202481', 'Pol2_peaks.bed']
[8685, 'chr17', '37203230', '37203416', 'Pol2_peaks.bed']
[146, 'chrX', '37207600', '37210399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[21177, 'chrX', '37208567', '37208670', 'Pol2_peaks.bed']
[9814, 'chr22', '37211800', '37213799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4774, 'chr17', '37212600', '37214999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8686, 'chr17', '37213280', '37213460', 'Pol2_peaks.bed']
[10436, 'chr19', '37214148', '37214241', 'Pol2_peaks.bed']
[15234, 'chr3', '37214600', '37220199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14020, 'chr3', '37217508', '37217638', 'Pol2_peaks.bed']
[14021, 'chr3', '37217697', '37217947', 'Pol2_peaks.bed']
[11107, 'chr7', '37221400', '37223199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12434, 'chr6', '37224600', '37227999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17608, 'chr6', '37225530', '37225803', 'Pol2_peaks.bed']
[17609, 'chr6', '37225880', '37225984', 'Pol2_peaks.bed']
[10365, 'chr20', '37229600', '37230799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12955, 'chr20', '37229702', '37229805', 'Pol2_peaks.bed']
[18192, 'chr1', '37235000', '37237799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14383, 'chr4', '37244800', '37247799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[900, 'chr13', '37247000', '37249599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5647, 'chr13', '37247924', '37248017', 'Pol2_peaks.bed']
[13279, 'chr5', '37248000', '37250799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20477, 'chr9', '37251619', '37251890', 'Pol2_peaks.bed']
[10437, 'chr19', '37255961', '37256054', 'Pol2_peaks.bed']
[8537, 'chr19', '37261800', '37265799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10438, 'chr19', '37262569', '37262852', 'Pol2_peaks.bed']
[10439, 'chr19', '37263611', '37263744', 'Pol2_peaks.bed']
[10440, 'chr19', '37264042', '37264145', 'Pol2_peaks.bed']
[9417, 'chr18', '37272000', '37272799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10366, 'chr20', '37273800', '37275599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8538, 'chr19', '37282200', '37282599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15235, 'chr3', '37283600', '37287399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14022, 'chr3', '37284462', '37284770', 'Pol2_peaks.bed']
[14023, 'chr3', '37285028', '37285132', 'Pol2_peaks.bed']
[8539, 'chr19', '37287600', '37290599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[18654, 'chr7', '37288156', '37288353', 'Pol2_peaks.bed']
[10441, 'chr19', '37288347', '37288711', 'Pol2_peaks.bed']
[10367, 'chr20', '37301200', '37304399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12956, 'chr20', '37303457', '37303550', 'Pol2_peaks.bed']
[4775, 'chr17', '37306400', '37311599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9815, 'chr22', '37307200', '37309199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8687, 'chr17', '37310041', '37310141', 'Pol2_peaks.bed']
[16383, 'chr2', '37310400', '37313599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11360, 'chr2', '37311305', '37311525', 'Pol2_peaks.bed']
[4776, 'chr17', '37320400', '37322999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12435, 'chr6', '37321200', '37324399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17610, 'chr6', '37321729', '37321915', 'Pol2_peaks.bed']
[8540, 'chr19', '37328000', '37330199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10442, 'chr19', '37328949', '37329073', 'Pol2_peaks.bed']
[10443, 'chr19', '37329121', '37329591', 'Pol2_peaks.bed']
[5648, 'chr13', '37336211', '37336486', 'Pol2_peaks.bed']
[6431, 'chr15', '37337200', '37338799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[6755, 'chr15', '37338298', '37338412', 'Pol2_peaks.bed']
[8541, 'chr19', '37340000', '37343199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10444, 'chr19', '37340985', '37341191', 'Pol2_peaks.bed']
[10445, 'chr19', '37341750', '37341981', 'Pol2_peaks.bed']
[4777, 'chr17', '37350600', '37359199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10368, 'chr20', '37350600', '37360599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5649, 'chr13', '37352391', '37352484', 'Pol2_peaks.bed']
[5650, 'chr13', '37352548', '37352695', 'Pol2_peaks.bed']
[8688, 'chr17', '37356531', '37356694', 'Pol2_peaks.bed']
[8689, 'chr17', '37361357', '37361697', 'Pol2_peaks.bed']
[8690, 'chr17', '37362230', '37362396', 'Pol2_peaks.bed']
[4778, 'chr17', '37365600', '37366999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13280, 'chr5', '37367800', '37372199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16093, 'chr5', '37370876', '37370969', 'Pol2_peaks.bed']
[16094, 'chr5', '37371045', '37371370', 'Pol2_peaks.bed']
[16095, 'chr5', '37371482', '37371631', 'Pol2_peaks.bed']
[13634, 'chr22', '37373546', '37373696', 'Pol2_peaks.bed']
[9816, 'chr22', '37373600', '37374799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10369, 'chr20', '37376000', '37378999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12957, 'chr20', '37377036', '37377207', 'Pol2_peaks.bed']
[12958, 'chr20', '37377393', '37377502', 'Pol2_peaks.bed']
[9418, 'chr18', '37378400', '37380599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4779, 'chr17', '37379000', '37382799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13281, 'chr5', '37379000', '37380199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16096, 'chr5', '37379369', '37379462', 'Pol2_peaks.bed']
[9519, 'chr18', '37380190', '37380361', 'Pol2_peaks.bed']
[16384, 'chr2', '37383000', '37384999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11361, 'chr2', '37384111', '37384247', 'Pol2_peaks.bed']
[6432, 'chr15', '37385800', '37395599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4780, 'chr17', '37388000', '37388599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[901, 'chr13', '37392400', '37395599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[6433, 'chr15', '37398000', '37404799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12436, 'chr6', '37399800', '37402399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17611, 'chr6', '37400752', '37401096', 'Pol2_peaks.bed']
[8542, 'chr19', '37405800', '37408399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10446, 'chr19', '37406831', '37406954', 'Pol2_peaks.bed']
[10447, 'chr19', '37407062', '37407233', 'Pol2_peaks.bed']
[10370, 'chr20', '37407400', '37408999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12959, 'chr20', '37408247', '37408370', 'Pol2_peaks.bed']
[12960, 'chr20', '37408495', '37408588', 'Pol2_peaks.bed']
[9817, 'chr22', '37413600', '37416799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20478, 'chr9', '37415213', '37415306', 'Pol2_peaks.bed']
[13635, 'chr22', '37415357', '37415507', 'Pol2_peaks.bed']
[20479, 'chr9', '37415434', '37415527', 'Pol2_peaks.bed']
[9419, 'chr18', '37421000', '37423999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19941, 'chr9', '37422000', '37424399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20480, 'chr9', '37422530', '37422643', 'Pol2_peaks.bed']
[16385, 'chr2', '37422600', '37426199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11362, 'chr2', '37423638', '37423754', 'Pol2_peaks.bed']
[147, 'chrX', '37430600', '37431999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10728, 'chr21', '37431000', '37433999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10371, 'chr20', '37432600', '37436599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13289, 'chr21', '37432730', '37433033', 'Pol2_peaks.bed']
[11363, 'chr2', '37433216', '37433424', 'Pol2_peaks.bed']
[12961, 'chr20', '37434224', '37434427', 'Pol2_peaks.bed']
[10729, 'chr21', '37441800', '37444199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9818, 'chr22', '37446600', '37449799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16386, 'chr2', '37450400', '37452599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16387, 'chr2', '37453200', '37462399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14384, 'chr4', '37454400', '37456399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11364, 'chr2', '37458633', '37458916', 'Pol2_peaks.bed']
[19942, 'chr9', '37462200', '37467799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8543, 'chr19', '37463400', '37465399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9819, 'chr22', '37464600', '37465599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20481, 'chr9', '37465051', '37465244', 'Pol2_peaks.bed']
[20482, 'chr9', '37465563', '37465705', 'Pol2_peaks.bed']
[20483, 'chr9', '37465878', '37466238', 'Pol2_peaks.bed']
[20484, 'chr9', '37466405', '37466607', 'Pol2_peaks.bed']
[12437, 'chr6', '37466800', '37468599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[17612, 'chr6', '37467307', '37467530', 'Pol2_peaks.bed']
[17613, 'chr6', '37467807', '37467900', 'Pol2_peaks.bed']
[20485, 'chr9', '37472345', '37472557', 'Pol2_peaks.bed']
[10730, 'chr21', '37476800', '37479199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13290, 'chr21', '37477162', '37477255', 'Pol2_peaks.bed']
[12438, 'chr6', '37478800', '37482199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19943, 'chr9', '37485200', '37487399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20486, 'chr9', '37485651', '37485819', 'Pol2_peaks.bed']
[20487, 'chr9', '37485951', '37486169', 'Pol2_peaks.bed']
[11108, 'chr7', '37486600', '37489399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[18655, 'chr7', '37488421', '37488660', 'Pol2_peaks.bed']
[902, 'chr13', '37492000', '37496199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15236, 'chr3', '37492200', '37496399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[14024, 'chr3', '37493208', '37493321', 'Pol2_peaks.bed']
[18193, 'chr1', '37498000', '37503199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12439, 'chr6', '37502800', '37505199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10731, 'chr21', '37506600', '37509599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12962, 'chr20', '37522534', '37522627', 'Pol2_peaks.bed']
[12440, 'chr6', '37527400', '37529199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10732, 'chr21', '37527800', '37530799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13291, 'chr21', '37528477', '37528657', 'Pol2_peaks.bed']
[11109, 'chr7', '37531400', '37534199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20810, 'chr8', '37532400', '37533999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12441, 'chr6', '37532800', '37534199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[148, 'chrX', '37544400', '37546399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16388, 'chr2', '37548800', '37552799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20811, 'chr8', '37551200', '37558199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11365, 'chr2', '37551275', '37551473', 'Pol2_peaks.bed']
[11366, 'chr2', '37551809', '37551974', 'Pol2_peaks.bed']
[19655, 'chr8', '37553235', '37553328', 'Pol2_peaks.bed']
[10372, 'chr20', '37554400', '37558999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12963, 'chr20', '37554980', '37555193', 'Pol2_peaks.bed']
[4781, 'chr17', '37555800', '37559399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8691, 'chr17', '37557760', '37557904', 'Pol2_peaks.bed']
[8544, 'chr19', '37567000', '37571399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[16389, 'chr2', '37571000', '37572799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[903, 'chr13', '37571800', '37576799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19944, 'chr9', '37573000', '37577599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5651, 'chr13', '37573368', '37573499', 'Pol2_peaks.bed']
[5652, 'chr13', '37574053', '37574216', 'Pol2_peaks.bed']
[5653, 'chr13', '37574542', '37574732', 'Pol2_peaks.bed']
[5654, 'chr13', '37574898', '37575118', 'Pol2_peaks.bed']
[9820, 'chr22', '37582600', '37585399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10373, 'chr20', '37589800', '37593599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19945, 'chr9', '37590400', '37593399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12964, 'chr20', '37590638', '37590812', 'Pol2_peaks.bed']
[12965, 'chr20', '37590957', '37591137', 'Pol2_peaks.bed']
[20488, 'chr9', '37592453', '37592729', 'Pol2_peaks.bed']
[20812, 'chr8', '37593200', '37595999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19656, 'chr8', '37593827', '37594299', 'Pol2_peaks.bed']
[9821, 'chr22', '37594200', '37596199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13636, 'chr22', '37595246', '37595486', 'Pol2_peaks.bed']
[4782, 'chr17', '37606400', '37609399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8692, 'chr17', '37607348', '37607626', 'Pol2_peaks.bed']
[9822, 'chr22', '37608200', '37608999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13637, 'chr22', '37608671', '37608794', 'Pol2_peaks.bed']
[12442, 'chr6', '37615400', '37618399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[4783, 'chr17', '37616800', '37620999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8693, 'chr17', '37617655', '37617938', 'Pol2_peaks.bed']
[8694, 'chr17', '37618049', '37618201', 'Pol2_peaks.bed']
[20813, 'chr8', '37619200', '37621599', 'accepted_hits_noDupl-W200-G400.scoreisland']
[19657, 'chr8', '37619866', '37620014', 'Pol2_peaks.bed']
[19658, 'chr8', '37620114', '37620353', 'Pol2_peaks.bed']
[904, 'chr13', '37632000', '37634399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[5655, 'chr13', '37633684', '37633793', 'Pol2_peaks.bed']
[6151, 'chr14', '37637227', '37637372', 'Pol2_peaks.bed']
[7202, 'chr14', '37640400', '37642799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[6152, 'chr14', '37641158', '37641873', 'Pol2_peaks.bed']
[19946, 'chr9', '37650200', '37652399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[20814, 'chr8', '37653600', '37659999', 'accepted_hits_noDupl-W200-G400.scoreisland']
[9823, 'chr22', '37655200', '37656199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[11110, 'chr7', '37657600', '37659399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[8545, 'chr19', '37662000', '37664399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12443, 'chr6', '37662800', '37668199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10448, 'chr19', '37663386', '37663884', 'Pol2_peaks.bed']
[7203, 'chr14', '37666000', '37668199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[6153, 'chr14', '37666688', '37666861', 'Pol2_peaks.bed']
[6154, 'chr14', '37666898', '37667077', 'Pol2_peaks.bed']
[12444, 'chr6', '37672600', '37674399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[10374, 'chr20', '37677800', '37679799', 'accepted_hits_noDupl-W200-G400.scoreisland']
[12966, 'chr20', '37678748', '37678841', 'Pol2_peaks.bed']
[14385, 'chr4', '37686600', '37689399', 'accepted_hits_noDupl-W200-G400.scoreisland']
[15220, 'chr4', '37687853', '37688012', 'Pol2_peaks.bed']
[10733, 'chr21', '37691600', '37695199', 'accepted_hits_noDupl-W200-G400.scoreisland']
[13292, 'chr21', '37692442', '37692648', 'Pol2_peaks.bed']
[13293, 'chr21', '37692770', '37692949', 'Pol2_peaks.bed']
